id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
994318645940686849,994315931022233600,2018-05-09 13:50:13 PDT,2018-05-09,13:50:13,-0800,528283889,cpt_martinez,Oso🐻,,@ssseleste Appreciate ya🤘🏻,en,[],[],[],0,0,1,[],[],https://twitter.com/Cpt_Martinez/status/994318645940686849,False,,0,,,,,,,,"[{'screen_name': 'ssseleste', 'name': 'sis', 'id': '1287467474'}]",,,,
994315931022233600,994315931022233600,2018-05-09 13:39:26 PDT,2018-05-09,13:39:26,-0800,528283889,cpt_martinez,Oso🐻,,Mannnn idk what I wanna eat😞,en,[],[],[],0,0,1,[],[],https://twitter.com/Cpt_Martinez/status/994315931022233600,False,,0,,,,,,,,[],,,,
993768310666858496,993768310666858496,2018-05-08 01:23:23 PDT,2018-05-08,01:23:23,-0800,528283889,cpt_martinez,Oso🐻,,Mannnn I can’t sleep 🤦🏻‍♂️,en,[],[],[],0,0,0,[],[],https://twitter.com/Cpt_Martinez/status/993768310666858496,False,,0,,,,,,,,[],,,,
993659788537028609,993659788537028609,2018-05-07 18:12:09 PDT,2018-05-07,18:12:09,-0800,528283889,cpt_martinez,Oso🐻,,Marry someone with the same morals as you.,en,[],[],[],0,0,2,[],[],https://twitter.com/Cpt_Martinez/status/993659788537028609,False,,0,,,,,,,,[],,,,
993506481608843264,993506481608843264,2018-05-07 08:02:58 PDT,2018-05-07,08:02:58,-0800,528283889,cpt_martinez,Oso🐻,,This old man iWork with likes listening to 50s music and he got me into it haha,en,[],[],[],0,0,0,[],[],https://twitter.com/Cpt_Martinez/status/993506481608843264,False,,0,,,,,,,,[],,,,
993338477440851968,993338175799091200,2018-05-06 20:55:23 PDT,2018-05-06,20:55:23,-0800,528283889,cpt_martinez,Oso🐻,,@Shady_Grady12 No problem man keep killin it🤘🏻,en,[],[],[],0,0,1,[],[],https://twitter.com/Cpt_Martinez/status/993338477440851968,False,,0,,,,,,,,"[{'screen_name': 'Shady_Grady12', 'name': 'Shady™️', 'id': '2905995305'}]",,,,
993338175799091200,993338175799091200,2018-05-06 20:54:11 PDT,2018-05-06,20:54:11,-0800,528283889,cpt_martinez,Oso🐻,,Yoooo y’all check out my boy Grady!!!!  https://t.co/8oEd9LhwR6,en,[],['https://twitter.com/shady_grady12/status/993225591087222784'],[],1,0,2,[],[],https://twitter.com/Cpt_Martinez/status/993338175799091200,False,https://twitter.com/shady_grady12/status/993225591087222784,0,,,,,,,,[],,,,
992169872930037763,992169872930037763,2018-05-03 15:31:45 PDT,2018-05-03,15:31:45,-0800,528283889,cpt_martinez,Oso🐻,,I wanna rope😩,en,[],[],[],0,0,0,[],[],https://twitter.com/Cpt_Martinez/status/992169872930037763,False,,0,,,,,,,,[],,,,
992130249268883456,992130249268883456,2018-05-03 12:54:18 PDT,2018-05-03,12:54:18,-0800,528283889,cpt_martinez,Oso🐻,,I laughed to fucking hard at this😂  https://t.co/tIUXQZNcuv,en,[],['https://twitter.com/playboiiangel_/status/991708022316482561'],[],0,0,0,[],[],https://twitter.com/Cpt_Martinez/status/992130249268883456,False,https://twitter.com/playboiiangel_/status/991708022316482561,0,,,,,,,,[],,,,
992029883311280129,992029883311280129,2018-05-03 06:15:29 PDT,2018-05-03,06:15:29,-0800,528283889,cpt_martinez,Oso🐻,,It’s my Friday and I’m excitedddd😁,en,[],[],[],0,0,1,[],[],https://twitter.com/Cpt_Martinez/status/992029883311280129,False,,0,,,,,,,,[],,,,
